pantone_name,fixed_id,corel_palette_version,process,cmyk_c_percent,cmyk_m_percent,cmyk_y_percent,cmyk_k_percent,cmyk_corel_raw,lab_corel_raw,srgb_r_0_255,srgb_g_0_255,srgb_b_0_255,hex_from_corel_srgb,srgb_corel_raw,adobe_rgb_corel_raw,source_xml,source_file_timestamp
PANTONE 7437 CP,468,1700,true,15.0,32.0,0.0,0.0,"0.15,0.32,0.0,0.0","0.7178,0.576705882352941,0.449725490196078",199,164,201,#C7A4C9,"0.780392156862745,0.643137254901961,0.788235294117647","0.741176470588235,0.63921568627451,0.776470588235294",Color/Palettes/Process/PANTONE/PANTONE+/PantonePlusColorBridgeCoated.xml,2026-02-11 17:29:00
PANTONE 7438 CP,469,1700,true,14.0,41.0,0.0,0.0,"0.14,0.41,0.0,0.0","0.6897,0.609490196078431,0.454235294117647",205,151,191,#CD97BF,"0.803921568627451,0.592156862745098,0.749019607843137","0.745098039215686,0.584313725490196,0.737254901960784",Color/Palettes/Process/PANTONE/PANTONE+/PantonePlusColorBridgeCoated.xml,2026-02-11 17:29:00
PANTONE 7439 CP,470,1700,true,27.0,50.0,0.0,0.0,"0.27,0.5,0.0,0.0","0.6227,0.597137254901961,0.428235294117647",178,136,184,#B288B8,"0.698039215686274,0.533333333333333,0.72156862745098","0.650980392156863,0.529411764705882,0.709803921568627",Color/Palettes/Process/PANTONE/PANTONE+/PantonePlusColorBridgeCoated.xml,2026-02-11 17:29:00
PANTONE 7440 CP,471,1700,true,34.0,57.0,0.0,0.0,"0.34,0.57,0.0,0.0","0.5629,0.601333333333333,0.432705882352941",164,119,166,#A477A6,"0.643137254901961,0.466666666666667,0.650980392156863","0.596078431372549,0.466666666666667,0.63921568627451",Color/Palettes/Process/PANTONE/PANTONE+/PantonePlusColorBridgeCoated.xml,2026-02-11 17:29:00
PANTONE 7441 CP,472,1700,true,45.0,71.0,0.0,0.0,"0.45,0.71,0.0,0.0","0.4976,0.630901960784314,0.406470588235294",154,97,161,#9A61A1,"0.603921568627451,0.380392156862745,0.631372549019608","0.545098039215686,0.380392156862745,0.615686274509804",Color/Palettes/Process/PANTONE/PANTONE+/PantonePlusColorBridgeCoated.xml,2026-02-11 17:29:00
PANTONE 7442 CP,473,1700,true,54.0,86.0,0.0,0.0,"0.54,0.86,0.0,0.0","0.4223,0.653411764705882,0.393490196078431",140,73,147,#8C4993,"0.549019607843137,0.286274509803922,0.576470588235294","0.490196078431373,0.290196078431373,0.56078431372549",Color/Palettes/Process/PANTONE/PANTONE+/PantonePlusColorBridgeCoated.xml,2026-02-11 17:29:00
PANTONE 2562 CP,474,1700,true,14.0,35.0,0.0,0.0,"0.14,0.35,0.0,0.0","0.7125,0.59321568627451,0.45643137254902",206,160,196,#CEA0C4,"0.807843137254902,0.627450980392157,0.768627450980392","0.756862745098039,0.619607843137255,0.76078431372549",Color/Palettes/Process/PANTONE/PANTONE+/PantonePlusColorBridgeCoated.xml,2026-02-11 17:29:00
PANTONE 2572 CP,475,1700,true,23.0,49.0,0.0,0.0,"0.23,0.49,0.0,0.0","0.6364,0.608039215686275,0.437843137254902",188,137,184,#BC89B8,"0.737254901960784,0.537254901960784,0.72156862745098","0.682352941176471,0.533333333333333,0.709803921568627",Color/Palettes/Process/PANTONE/PANTONE+/PantonePlusColorBridgeCoated.xml,2026-02-11 17:29:00
PANTONE 2582 CP,476,1700,true,41.0,77.0,0.0,0.0,"0.41,0.77,0.0,0.0","0.4879,0.650039215686274,0.412627450980392",159,90,156,#9F5A9C,"0.623529411764706,0.352941176470588,0.611764705882353","0.556862745098039,0.352941176470588,0.596078431372549",Color/Palettes/Process/PANTONE/PANTONE+/PantonePlusColorBridgeCoated.xml,2026-02-11 17:29:00
PANTONE 2592 CP,477,1700,true,52.0,93.0,0.0,0.0,"0.52,0.93,0.0,0.0","0.4047,0.677490196078431,0.398549019607843",144,61,140,#903D8C,"0.564705882352941,0.23921568627451,0.549019607843137","0.494117647058824,0.247058823529412,0.537254901960784",Color/Palettes/Process/PANTONE/PANTONE+/PantonePlusColorBridgeCoated.xml,2026-02-11 17:29:00
PANTONE 2602 CP,478,1700,true,58.0,99.0,0.0,0.0,"0.58,0.99,0.0,0.0","0.352,0.692941176470588,0.388117647058824",134,41,131,#862983,"0.525490196078431,0.16078431372549,0.513725490196078","0.454901960784314,0.176470588235294,0.501960784313725",Color/Palettes/Process/PANTONE/PANTONE+/PantonePlusColorBridgeCoated.xml,2026-02-11 17:29:00
PANTONE 2612 CP,479,1700,true,61.0,100.0,0.0,1.0,"0.61,1.0,0.0,0.01","0.3377,0.688117647058824,0.381019607843137",128,39,130,#802782,"0.501960784313725,0.152941176470588,0.509803921568627","0.435294117647059,0.168627450980392,0.498039215686275",Color/Palettes/Process/PANTONE/PANTONE+/PantonePlusColorBridgeCoated.xml,2026-02-11 17:29:00
PANTONE 2622 CP,480,1700,true,57.0,95.0,3.0,27.0,"0.57,0.95,0.03,0.27","0.3068,0.629058823529412,0.426352941176471",106,50,103,#6A3267,"0.415686274509804,0.196078431372549,0.403921568627451","0.368627450980392,0.207843137254902,0.4",Color/Palettes/Process/PANTONE/PANTONE+/PantonePlusColorBridgeCoated.xml,2026-02-11 17:29:00
